BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	dev_stage_s	strain_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	sex_s	source_s	tissue_s
SAMN03272869	SRX823805	2014-12-23	11004	8146	SRR1734599	SRS803474	CC-2342	log phase of growth	CC-2342	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272871	SRX823806	2014-12-23	8422	5843	SRR1734600	SRS803475	CC-2290	not applicable	CC-2290	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272872	SRX823807	2014-12-24	8270	5733	SRR1734601	SRS803476	CC-2343	not applicable	CC-2343	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272873	SRX823808	2014-12-23	8397	5777	SRR1734602	SRS803477	CC-2938	not applicable	CC-2938	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272874	SRX823809	2014-12-23	8040	5562	SRR1734603	SRS803478	CC-2935	not applicable	CC-2935	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272875	SRX823810	2014-12-24	10115	7008	SRR1734604	SRS803479	CC-2936	not applicable	CC-2936	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272888	SRX823849	2014-12-24	9942	6854	SRR1734607	SRS803516	CC-1009	not applicable	CC-1009	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272884	SRX823850	2014-12-24	10489	7476	SRR1734608	SRS803517	CC-1010	not applicable	CC-1010	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272887	SRX823851	2014-12-24	9581	6591	SRR1734609	SRS803518	CC-124	not applicable	CC-124	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272883	SRX823852	2014-12-24	9260	6332	SRR1734610	SRS803519	CC-125	not applicable	CC-125	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
SAMN03272876	SRX823853	2014-12-24	9836	6936	SRR1734611	SRS803520	CC-1373	not applicable	CC-1373	WGS	<not provided>	PRJNA271103	Model organism or animal	NEW YORK UNIVERSITY	public	0	PAIRED	unspecified	GENOMIC	<not provided>	Chlamydomonas reinhardtii	ILLUMINA	2015-10-01	SRP051522	<not provided>	<not provided>	not applicable	<not provided>	cell culture
