BioSample_s	BioSampleModel_s	Cultivar_s	Experiment_s	ID_s	InsertSize_l	LibraryLayout_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Plant_s	ReleaseDate_s	Rice_Field_s	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	env_biome_s	env_feature_s	env_material_s	geo_loc_name_s	host_s	lat_lon_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN02928825	MIMS.me	<not provided>	SRX659832	<not provided>	250	PAIRED	FieldRun1	2016-06-09	30	20	1	2014-07-26	Ditaler_18	SRR1523634	SRS664834	JE.Lundberg.1	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928826	MIMS.me	<not provided>	SRX659857	<not provided>	0	PAIRED	FieldRun1	2016-06-09	39	26	1	2014-07-26	Ditaler_18	SRR1523636	SRS664859	JE.Lundberg.2	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928827	MIMS.me	<not provided>	SRX659858	<not provided>	250	PAIRED	FieldRun1	2016-06-09	19	13	1	2014-07-26	Ditaler_18	SRR1523640	SRS664860	JE.Lundberg.3	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928828	MIMS.me	<not provided>	SRX659875	<not provided>	250	PAIRED	FieldRun1	2016-06-09	45	30	2	2014-07-26	Ditaler_18	SRR1523641	SRS664877	JE.Lundberg.4	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928829	MIMS.me	<not provided>	SRX659876	<not provided>	250	PAIRED	FieldRun1	2016-06-09	31	21	2	2014-07-26	Ditaler_18	SRR1523649	SRS664878	JE.Lundberg.5	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929695	MIMS.me	Soil	SRX659896	JE.Soil.1	250	PAIRED	GHRun1	2016-06-09	18	11	<not provided>	2014-07-26	<not provided>	SRR1524333	SRS664894	JE.Soil.1	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Bulk Soil	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929696	MIMS.me	Nipponebare	SRX659897	JE.Soil.2	250	PAIRED	GHRun1	2016-06-09	22	13	<not provided>	2014-07-26	<not provided>	SRR1524334	SRS664896	JE.Soil.2	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929697	MIMS.me	Nipponebare	SRX659898	JE.Soil.3	250	PAIRED	GHRun1	2016-06-09	19	12	<not provided>	2014-07-26	<not provided>	SRR1524335	SRS664897	JE.Soil.3	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Rhizoplane	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929698	MIMS.me	Nipponebare	SRX659900	JE.Soil.4	250	PAIRED	GHRun1	2016-06-09	18	10	<not provided>	2014-07-26	<not provided>	SRR1524359	SRS664898	JE.Soil.4	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Endosphere	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02929699	MIMS.me	Soil	SRX659901	JE.Soil.5	250	PAIRED	GHRun1	2016-06-09	78	46	<not provided>	2014-07-26	<not provided>	SRR1524363	SRS664900	JE.Soil.5	2013-05-06	Greenhouse Soil	Transported Soil in the Greenhouse	Bulk Soil	USA: Arbuckle, California	Oryza sativa	39.011732 N 121.922118 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928830	MIMS.me	<not provided>	SRX659902	<not provided>	250	PAIRED	FieldRun1	2016-06-09	29	19	2	2014-07-26	Ditaler_18	SRR1524309	SRS664901	JE.Lundberg.6	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928831	MIMS.me	<not provided>	SRX659903	<not provided>	250	PAIRED	FieldRun1	2016-06-09	35	24	3	2014-07-26	Ditaler_18	SRR1524310	SRS664902	JE.Lundberg.7	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928832	MIMS.me	<not provided>	SRX659904	<not provided>	250	PAIRED	FieldRun1	2016-06-09	41	27	3	2014-07-26	Ditaler_18	SRR1524311	SRS664903	JE.Lundberg.8	2013-07-08	Rice Paddy	Rice Paddy	Rhizoplane	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928833	MIMS.me	<not provided>	SRX659905	<not provided>	250	PAIRED	FieldRun1	2016-06-09	33	22	3	2014-07-26	Ditaler_18	SRR1524312	SRS664904	JE.Lundberg.9	2013-07-08	Rice Paddy	Rice Paddy	Endosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
SAMN02928834	MIMS.me	<not provided>	SRX659906	<not provided>	250	PAIRED	FieldRun1	2016-06-09	54	36	4	2014-07-26	Ditaler_18	SRR1523635	SRS664905	JE.Lundberg.10	2013-07-08	Rice Paddy	Rice Paddy	Rhizosphere	USA: California, Central Valley	Rice	39.41028 N 121.74667 W	AMPLICON	<not provided>	PRJNA255789	UC DAVIS	public	PCR	METAGENOMIC	root metagenome	ILLUMINA	SRP044745	<not provided>	<not provided>	<not provided>
