runid	name
SRR1524826	JE_Soil_319
SRR1524444	JE_Lundberg_122
SRR1524813	JE_Soil_301
SRR2107469	JE_TC_46
SRR1524739	JE_Soil_215
SRR1524798	JE_Soil_282
SRR1524633	JE_Soil_122
SRR1524784	JE_Soil_264
SRR2107448	JE_TC_30
SRR1524735	JE_Soil_212
SRR1524700	JE_Soil_189
SRR1524414	JE_Lundberg_106
SRR1524614	JE_Soil_111
SRR1524711	JE_Soil_196
SRR1524312	JE_Lundberg_9
SRR1524705	JE_Soil_193
SRR2107446	JE_TC_28
SRR2107500	JE_TC_74
SRR1524679	JE_Lundberg_149
SRR1524796	JE_Soil_280
SRR1524572	JE_Soil_91
SRR1524569	JE_Lundberg_139
SRR1524729	JE_Soil_208
SRR1524399	JE_Lundberg_99
SRR1524358	JE_Lundberg_58
SRR1524388	JE_Lundberg_70
SRR1524310	JE_Lundberg_7
SRR1524640	JE_Lundberg_82
SRR1524469	JE_Soil_67
SRR1524541	JE_Soil_78
SRR1524731	JE_Soil_210
SRR1524728	JE_Lundberg_173
SRR2107473	JE_TC_5
SRR1524682	JE_Lundberg_150
SRR1524809	JE_Soil_295
SRR1524341	JE_Lundberg_18
SRR1523636	JE_Lundberg_2
SRR1524600	JE_Lundberg_38
SRR1524602	JE_Lundberg_39
SRR1524311	JE_Lundberg_8
SRR1524589	JE_Soil_100
SRR1524683	JE_Soil_181
SRR1524380	JE_Lundberg_66
SRR1524606	JE_Lundberg_41
SRR1524816	JE_Soil_304
SRR1524618	JE_Lundberg_47
SRR1524626	JE_Soil_119
SRR1523635	JE_Lundberg_10
SRR1524400	JE_Lundberg_100
SRR2107490	JE_TC_65
SRR1524576	JE_Lundberg_143
SRR1524561	JE_Soil_83
SRR1524774	JE_Soil_249
SRR1524462	JE_Soil_58
SRR1524823	JE_Soil_315
SRR1524759	JE_Lundberg_191
SRR1524346	JE_Lundberg_23
SRR1524722	JE_Lundberg_169
SRR1524480	JE_Lundberg_132
SRR1524718	JE_Lundberg_167
SRR1524416	JE_Lundberg_108
SRR1524447	JE_Soil_45
SRR1524393	JE_Soil_18
SRR1524368	JE_Soil_8
SRR2107436	JE_TC_18
SRR1524360	JE_Lundberg_59
SRR2107468	JE_TC_45
SRR1524465	JE_Soil_62
SRR1524704	JE_Soil_192
SRR1524667	JE_Soil_147
SRR1524359	JE_Soil_4
SRR1524565	JE_Soil_86
SRR1524709	JE_Soil_195
SRR2107439	JE_TC_21
SRR1524691	JE_Lundberg_156
SRR1524812	JE_Soil_300
SRR1524663	JE_Lundberg_93
SRR1524686	JE_Lundberg_152
SRR1524693	JE_Soil_184
SRR1524665	JE_Lundberg_94
SRR1524730	JE_Lundberg_175
SRR1524681	JE_Soil_180
SRR1524383	JE_Lundberg_67
SRR2107460	JE_TC_37
SRR1524423	JE_Soil_33
SRR1524655	JE_Soil_136
SRR1524651	JE_Lundberg_88
SRR1524825	JE_Soil_318
SRR1524463	JE_Soil_59
SRR1524619	JE_Soil_115
SRR1524643	JE_Soil_128
SRR1524448	JE_Lundberg_124
SRR2107433	JE_TC_15
SRR1524390	JE_Lundberg_69
SRR1524422	JE_Lundberg_111
SRR1524395	JE_Soil_19
SRR1524743	JE_Lundberg_181
SRR1524342	JE_Lundberg_19
