coverage,measure,scale,spearman
30.0,ip,0.1,0.932748440268423
50.0,wip,0.01,0.9576671831069734
30.0,wip,0.001,0.9480951024217356
0.5,wip,0.01,0.7686007946746357
30.0,wip,0.05,0.9577374437129236
2.0,ip,0.01,0.7244403436423583
30.0,wip,0.01,0.9532651630118409
30.0,wip,0.005,0.9561621465794239
30.0,wip,0.02,0.954921466191807
30.0,ip,0.01,0.9274029626920897
15.0,ip,0.01,0.9065393873314344
0.5,ip,0.01,0.7460980293904718
8.0,ip,0.01,0.9249598826263216
30.0,ip,0.05,0.9276350607793928
1.0,ip,0.01,0.7717353205760439
8.0,wip,0.01,0.9525215576622359
12.0,ip,0.01,0.9392148214405718
4.0,wip,0.01,0.8862244512096135
2.0,wip,0.01,0.8039021733405223
50.0,ip,0.01,0.9362170923992081
4.0,ip,0.01,0.838311044019806
30.0,ip,0.001,0.7294941324417684
30.0,ip,0.02,0.9302255435758521
15.0,wip,0.01,0.9463837392713141
1.0,wip,0.01,0.8093738492749804
30.0,ip,0.005,0.9194546739239287
30.0,wip,0.1,0.9515244988059757
12.0,wip,0.01,0.9596602047320104
30.0,ip,0.1,0.9326059123588056
50.0,wip,0.01,0.8503340306347413
30.0,wip,0.001,0.885044726511468
0.5,wip,0.01,0.6208102016160795
30.0,wip,0.05,0.8480045193436986
2.0,ip,0.01,0.7884401868890228
30.0,wip,0.01,0.8514993120819798
30.0,wip,0.005,0.8541127687678062
30.0,wip,0.02,0.8535265645313845
30.0,ip,0.01,0.9194739705419357
15.0,ip,0.01,0.872840337592145
0.5,ip,0.01,0.6277145459824712
8.0,ip,0.01,0.8967015408392878
30.0,ip,0.05,0.8919127851737558
1.0,ip,0.01,0.7451143668374719
8.0,wip,0.01,0.8600905222658811
12.0,ip,0.01,0.9112339358447565
4.0,wip,0.01,0.8463850240035034
2.0,wip,0.01,0.8360817591745199
50.0,ip,0.01,0.9181808511377963
4.0,ip,0.01,0.8189370553584363
30.0,ip,0.001,0.6781865093688526
30.0,ip,0.02,0.932478184776012
15.0,wip,0.01,0.8501920871325981
1.0,wip,0.01,0.7830085300091318
30.0,ip,0.005,0.8835456388578262
30.0,wip,0.1,0.871850096855512
12.0,wip,0.01,0.8583078750630513
30.0,ip,0.1,0.9672083999166093
50.0,wip,0.01,0.9657666573594978
30.0,wip,0.001,0.9539531571695476
0.5,wip,0.01,0.7206237942626387
30.0,wip,0.05,0.9569339027816596
2.0,ip,0.01,0.7671505972214673
30.0,wip,0.01,0.9578399855426525
30.0,wip,0.005,0.9430439816119015
30.0,wip,0.02,0.9595756937821599
30.0,ip,0.01,0.9375076282619332
15.0,ip,0.01,0.9231724163693481
0.5,ip,0.01,0.7060568861025112
8.0,ip,0.01,0.9206604120157323
30.0,ip,0.05,0.9467273565897811
1.0,ip,0.01,0.8654157857842256
8.0,wip,0.01,0.9456667235895017
12.0,ip,0.01,0.9285566228559086
4.0,wip,0.01,0.9081475716110701
2.0,wip,0.01,0.8449916113207495
50.0,ip,0.01,0.9585055473216074
4.0,ip,0.01,0.8908875791549485
30.0,ip,0.001,0.8509284950886271
30.0,ip,0.02,0.9525541055995753
15.0,wip,0.01,0.9363025194060723
1.0,wip,0.01,0.8868842287028428
30.0,ip,0.005,0.9187188654196506
30.0,wip,0.1,0.9677770661096987
12.0,wip,0.01,0.9504255824902207
30.0,ip,0.1,0.9279920056462407
50.0,wip,0.01,0.9171488098557891
30.0,wip,0.001,0.8782989703052041
0.5,wip,0.01,0.6470147073103492
30.0,wip,0.05,0.9241458565623146
2.0,ip,0.01,0.7610299099599427
30.0,wip,0.01,0.9151389039262126
