"tool"	"metric"	"size"	"cov"	"var"	"time_mean"	"time_sd"	"nread_mean"	"nread_sd"	"nkmer_mean"	"nkmer_sd"
"kwip"	"ip"	1.0e7	1.0	0.001	28.425031423568726	3.407843841868808	9942.527777777777	3014.559704735287	545050.723611111	118084.29825095893
"kwip"	"wip"	1.0e7	1.0	0.001	33.04286007881164	3.097602910859823	9942.527777777777	3014.559704735287	545050.723611111	118084.29825095893
"kwip"	"ip"	1.0e7	2.0	0.001	31.64544403553009	3.2994837124994203	20297.575	6126.479760048038	821105.786111111	134806.67206370612
"kwip"	"wip"	1.0e7	2.0	0.001	36.53137522935867	2.260942802768194	20297.575	6126.479760048038	821105.786111111	134806.67206370612
"kwip"	"ip"	1.0e7	4.0	0.001	34.787574076652525	2.4720454379072523	39627.00833333333	12111.896050410636	1.0621013527777777e6	120285.19259057337
"kwip"	"wip"	1.0e7	4.0	0.001	39.99083206653595	2.248150729661357	39627.00833333333	12111.896050410636	1.0621013527777777e6	120285.19259057337
"kwip"	"ip"	1.0e7	8.0	0.001	38.80605270862579	2.7182655181822866	80140.25833333333	24556.02342044092	1.3002440041666667e6	136668.41914025418
"kwip"	"wip"	1.0e7	8.0	0.001	44.787734031677246	1.977067760086716	80140.25833333333	24556.02342044092	1.3002440041666667e6	136668.41914025418
"kwip"	"ip"	1.0e7	16.0	0.001	41.9455042719841	2.524070874640298	161030.51944444445	45765.413485045676	1.657186976388889e6	203723.15675616995
"kwip"	"wip"	1.0e7	16.0	0.001	48.47684009075165	2.509535249287593	161030.51944444445	45765.413485045676	1.657186976388889e6	203723.15675616995
"kwip"	"ip"	1.0e7	32.0	0.001	45.756893920898435	2.634053278041107	317198.3888888889	94668.37310308484	2.2794463444444444e6	370243.71060921234
"kwip"	"wip"	1.0e7	32.0	0.001	52.89195309877395	2.427095882608643	317198.3888888889	94668.37310308484	2.2794463444444444e6	370243.71060921234
"kwip"	"ip"	1.0e7	64.0	0.001	49.017190194129945	2.6537482848075373	646411.4888888889	194292.4561638621	3.4095402722222223e6	630891.6670385975
"kwip"	"wip"	1.0e7	64.0	0.001	56.879202377796176	2.409299233107767	646411.4888888889	194292.4561638621	3.4095402722222223e6	630891.6670385975
"kwip"	"ip"	1.0e7	8.0	0.002	37.19006893634796	2.61602227969674	80386.11944444444	22963.743873235497	1.3024623555555556e6	123098.61792738133
"kwip"	"wip"	1.0e7	8.0	0.002	43.421606278419496	2.0824946051103583	80386.11944444444	22963.743873235497	1.3024623555555556e6	123098.61792738133
"kwip"	"ip"	1.0e7	32.0	0.002	44.16141010522843	2.338802610684206	322200.875	96436.52493804522	2.2962767583333333e6	374450.9398658332
"kwip"	"wip"	1.0e7	32.0	0.002	51.15157459974289	2.1748601770908116	322200.875	96436.52493804522	2.2962767583333333e6	374450.9398658332
"kwip"	"ip"	1.0e7	1.0	0.005	30.930027318000793	4.307749414476348	10066.383333333333	3033.471173048962	546357.1125	119844.7327898533
"kwip"	"wip"	1.0e7	1.0	0.005	34.19811899662018	3.6222855703414445	10066.383333333333	3033.471173048962	546357.1125	119844.7327898533
"kwip"	"ip"	1.0e7	2.0	0.005	33.44005826711655	3.9779076477310618	20326.644444444446	5888.524623652573	819717.9930555555	127310.89825021
"kwip"	"wip"	1.0e7	2.0	0.005	38.71327477693558	3.1270289402287164	20326.644444444446	5888.524623652573	819717.9930555555	127310.89825021
"kwip"	"ip"	1.0e7	4.0	0.005	37.65522680282593	5.197321233832651	40165.48611111111	12410.087559852294	1.0593744041666666e6	134773.28304912883
"kwip"	"wip"	1.0e7	4.0	0.005	42.78382860422134	4.047323762324988	40165.48611111111	12410.087559852294	1.0593744041666666e6	134773.28304912883
"kwip"	"ip"	1.0e7	8.0	0.005	40.76921849250793	3.8039751088908473	81292.26111111112	24845.220753284342	1.3003901222222222e6	136398.60302266953
"kwip"	"wip"	1.0e7	8.0	0.005	47.34207408428192	3.9973117252007158	81292.26111111112	24845.220753284342	1.3003901222222222e6	136398.60302266953
"kwip"	"ip"	1.0e7	16.0	0.005	44.374356019496915	3.7523947162608846	158199.38888888888	47633.38281221545	1.639690798611111e6	205088.65392627256
"kwip"	"wip"	1.0e7	16.0	0.005	50.3255111694336	3.6139380105277135	158199.38888888888	47633.38281221545	1.639690798611111e6	205088.65392627256
"kwip"	"ip"	1.0e7	32.0	0.005	48.03422652482986	4.63743342358361	322140.06111111114	97640.4738637681	2.2895044833333334e6	371664.6040751587
"kwip"	"wip"	1.0e7	32.0	0.005	54.4665766954422	3.7223663608121136	322140.06111111114	97640.4738637681	2.2895044833333334e6	371664.6040751587
"kwip"	"ip"	1.0e7	64.0	0.005	52.27506520748138	4.449383654695162	646619.5222222222	184487.1992922935	3.399627331944444e6	596013.4750538707
"kwip"	"wip"	1.0e7	64.0	0.005	60.198889350891115	3.943211437872516	646619.5222222222	184487.1992922935	3.399627331944444e6	596013.4750538707
"kwip"	"ip"	1.0e7	128.0	0.005	57.30864505767822	4.686440859827656	1.2770392055555556e6	380294.22078854265	5.030527401388889e6	890335.864021636
"kwip"	"wip"	1.0e7	128.0	0.005	64.79405477046967	3.740387578357143	1.2770392055555556e6	380294.22078854265	5.030527401388889e6	890335.864021636
"kwip"	"ip"	1.0e7	1.0	0.01	29.085153579711914	3.326925585393429	10334.913888888888	2936.639526541718	553037.4416666667	113927.41095835491
"kwip"	"wip"	1.0e7	1.0	0.01	33.12757884263992	2.7347110343937233	10334.913888888888	2936.639526541718	553037.4416666667	113927.41095835491
