"tool"	"metric"	"size"	"cov"	"var"	"time_mean"	"time_sd"	"nread_mean"	"nread_sd"	"nkmer_mean"	"nkmer_sd"
"kwip"	"ip"	1.0e7	8.0	0.001	32.19610186815262	2.778757883967974	81132.01944444445	23625.955823118555	1.307883072222222e6	120004.3476970177
"kwip"	"wip"	1.0e7	8.0	0.001	38.451774859428404	3.250894008288339	81132.01944444445	23625.955823118555	1.307883072222222e6	120004.3476970177
"kwip"	"ip"	1.0e7	32.0	0.001	38.2701242685318	1.7069878055223537	321723.34444444446	97966.81535841367	2.295487626388889e6	386474.17436793906
"kwip"	"wip"	1.0e7	32.0	0.001	45.20400801897049	1.3844227764894768	321723.34444444446	97966.81535841367	2.295487626388889e6	386474.17436793906
"kwip"	"ip"	1.0e7	1.0	0.002	23.58451066017151	1.5371174221642634	10134.794444444444	3072.4008601271194	551579.6902777777	122247.74099725422
"kwip"	"wip"	1.0e7	1.0	0.002	28.459766125679018	1.5187724863163163	10134.794444444444	3072.4008601271194	551579.6902777777	122247.74099725422
"kwip"	"ip"	1.0e7	2.0	0.002	27.131745159626007	3.5163364006463995	20081.916666666668	6272.300962960734	814992.536111111	139348.73340591154
"kwip"	"wip"	1.0e7	2.0	0.002	31.844924521446227	2.987385031514502	20081.916666666668	6272.300962960734	814992.536111111	139348.73340591154
"kwip"	"ip"	1.0e7	4.0	0.002	30.294188702106474	1.8085561915814539	41588.455555555556	12347.74019104549	1.0779994069444444e6	117197.08337985701
"kwip"	"wip"	1.0e7	4.0	0.002	35.600473737716676	1.5508005067618595	41588.455555555556	12347.74019104549	1.0779994069444444e6	117197.08337985701
"kwip"	"ip"	1.0e7	8.0	0.002	34.56725605726242	2.4846562776711236	80217.71944444445	23791.933010760065	1.3014322347222222e6	125001.24545891535
"kwip"	"wip"	1.0e7	8.0	0.002	40.46130698919296	2.017861904442721	80217.71944444445	23791.933010760065	1.3014322347222222e6	125001.24545891535
"kwip"	"ip"	1.0e7	16.0	0.002	37.583085930347444	3.151138950522626	159325.85555555555	45752.67818612402	1.6500606916666667e6	194911.20531524156
"kwip"	"wip"	1.0e7	16.0	0.002	44.257065665721896	2.9013734192390412	159325.85555555555	45752.67818612402	1.6500606916666667e6	194911.20531524156
"kwip"	"ip"	1.0e7	32.0	0.002	40.68522287607193	2.3778883659776135	325310.0472222222	96625.06513810756	2.3089793694444443e6	371120.88358796557
"kwip"	"wip"	1.0e7	32.0	0.002	48.21130197048187	3.0312815521372127	325310.0472222222	96625.06513810756	2.3089793694444443e6	371120.88358796557
"kwip"	"ip"	1.0e7	64.0	0.002	45.12148367166519	2.9787993802311687	655479.3333333334	189101.06762596424	3.438341759722222e6	603421.3100699743
"kwip"	"wip"	1.0e7	64.0	0.002	53.30446162223816	3.0823454648060356	655479.3333333334	189101.06762596424	3.438341759722222e6	603421.3100699743
"kwip"	"ip"	1.0e7	128.0	0.002	50.431525480747226	3.8600551953771953	1.290503275e6	380529.560594252	5.077807818055555e6	874787.8974851429
"kwip"	"wip"	1.0e7	128.0	0.002	59.05677511692047	3.0560668145639824	1.290503275e6	380529.560594252	5.077807818055555e6	874787.8974851429
"kwip"	"ip"	1.0e7	1.0	0.005	26.467692601680756	3.6409549527630154	9932.033333333333	3004.919306375849	541538.2	118674.4833507102
"kwip"	"wip"	1.0e7	1.0	0.005	30.10615656375885	3.575729936151994	9932.033333333333	3004.919306375849	541538.2	118674.4833507102
"kwip"	"ip"	1.0e7	2.0	0.005	30.20318123102188	4.654731000731455	19612.37222222222	6029.469897406702	802467.4680555556	142847.52955670035
"kwip"	"wip"	1.0e7	2.0	0.005	34.23113272190094	3.532674367513333	19612.37222222222	6029.469897406702	802467.4680555556	142847.52955670035
"kwip"	"ip"	1.0e7	4.0	0.005	33.352590119838716	4.709886865555313	40337.24444444444	12007.995859330065	1.0639433527777777e6	120195.98630403598
"kwip"	"wip"	1.0e7	4.0	0.005	38.56873437166214	3.705076181866825	40337.24444444444	12007.995859330065	1.0639433527777777e6	120195.98630403598
"kwip"	"ip"	1.0e7	8.0	0.005	36.27404857873917	3.8126273544365823	79209.75555555556	23184.081258387574	1.2916128902777778e6	133778.1222447352
"kwip"	"wip"	1.0e7	8.0	0.005	42.65891772508621	3.962730883584103	79209.75555555556	23184.081258387574	1.2916128902777778e6	133778.1222447352
"kwip"	"ip"	1.0e7	16.0	0.005	40.79458010196686	4.522096849395957	159939.6888888889	47651.521505031946	1.6464292444444445e6	207580.20552933466
"kwip"	"wip"	1.0e7	16.0	0.005	47.01117218732834	4.106012001873175	159939.6888888889	47651.521505031946	1.6464292444444445e6	207580.20552933466
"kwip"	"ip"	1.0e7	32.0	0.005	44.2700874209404	4.200759279858932	325482.975	94668.34710785263	2.302693495833333e6	361904.4817859377
"kwip"	"wip"	1.0e7	32.0	0.005	51.23711886405945	4.56499882626668	325482.975	94668.34710785263	2.302693495833333e6	361904.4817859377
"kwip"	"ip"	1.0e7	64.0	0.005	48.25789834260941	3.718228993861442	645523.0722222222	195913.5508895951	3.3912724638888887e6	630820.7940590599
"kwip"	"wip"	1.0e7	64.0	0.005	56.199541771411894	4.118338599939386	645523.0722222222	195913.5508895951	3.3912724638888887e6	630820.7940590599
"kwip"	"ip"	1.0e7	128.0	0.005	52.94048224687576	4.625355786255196	1.2785770666666667e6	372449.2453474042	5.038541445833334e6	862419.8548601717
"kwip"	"wip"	1.0e7	128.0	0.005	61.66018036603928	4.552959558728084	1.2785770666666667e6	372449.2453474042	5.038541445833334e6	862419.8548601717
"kwip"	"ip"	1.0e7	1.0	0.01	25.576696956157683	3.4091364720502217	10060.094444444445	2896.88564669692	543019.1958333333	112813.42336382015
"kwip"	"wip"	1.0e7	1.0	0.01	29.717280161380767	2.673796943084354	10060.094444444445	2896.88564669692	543019.1958333333	112813.42336382015
"kwip"	"ip"	1.0e7	2.0	0.01	29.001194095611574	3.9240642571588396	19768.558333333334	5843.836907535802	802244.5166666667	129664.66094025297
"kwip"	"wip"	1.0e7	2.0	0.01	33.70474922657013	3.253256687631598	19768.558333333334	5843.836907535802	802244.5166666667	129664.66094025297
"kwip"	"ip"	1.0e7	4.0	0.01	31.8184023976326	3.631904941398841	39852.38055555556	12034.967659693064	1.052869648611111e6	121790.56848931882
"kwip"	"wip"	1.0e7	4.0	0.01	37.02586265802383	3.6344928857810603	39852.38055555556	12034.967659693064	1.052869648611111e6	121790.56848931882
"kwip"	"ip"	1.0e7	8.0	0.01	35.54119606018067	3.8247669672432605	80166.83611111112	24269.72178662877	1.2904251541666666e6	126946.86471659697
"kwip"	"wip"	1.0e7	8.0	0.01	41.00797628164291	2.9328932561206735	80166.83611111112	24269.72178662877	1.2904251541666666e6	126946.86471659697
"kwip"	"ip"	1.0e7	16.0	0.01	37.85930963754654	2.6056485208385145	159172.27777777778	47544.2166283024	1.6356819527777778e6	203770.67155081566
"kwip"	"wip"	1.0e7	16.0	0.01	44.064890229701994	2.444723461055264	159172.27777777778	47544.2166283024	1.6356819527777778e6	203770.67155081566
"kwip"	"ip"	1.0e7	32.0	0.01	41.694542145729066	2.557805500198708	321809.9083333333	97174.58835372656	2.273354988888889e6	384322.73114619293
"kwip"	"wip"	1.0e7	32.0	0.01	48.968969547748564	2.922494263179323	321809.9083333333	97174.58835372656	2.273354988888889e6	384322.73114619293
"kwip"	"ip"	1.0e7	64.0	0.01	46.71023054122925	4.835759287445164	633473.6416666667	197754.74302789796	3.334655361111111e6	634887.8376787365
"kwip"	"wip"	1.0e7	64.0	0.01	54.060153770446775	4.399337772544948	633473.6416666667	197754.74302789796	3.334655361111111e6	634887.8376787365
"kwip"	"ip"	1.0e7	128.0	0.01	51.152646851539615	4.003521678355443	1.2830416722222222e6	375553.7054211093	5.021885131944444e6	867856.4859762833
"kwip"	"wip"	1.0e7	128.0	0.01	59.37716596126556	3.827381786359975	1.2830416722222222e6	375553.7054211093	5.021885131944444e6	867856.4859762833
"kwip"	"ip"	1.0e7	8.0	0.02	36.37063632011414	5.810976430708486	80354.82222222222	24178.48243371117	1.2797724125e6	124564.43935947728
"kwip"	"wip"	1.0e7	8.0	0.02	41.59998798370361	3.6399111099215147	80354.82222222222	24178.48243371117	1.2797724125e6	124564.43935947728
"kwip"	"ip"	1.0e7	32.0	0.02	42.979977548122406	5.099586094784513	318311.60833333334	93985.7992785759	2.239227409722222e6	359700.5397261371
"kwip"	"wip"	1.0e7	32.0	0.02	49.80313446521759	4.606197909188598	318311.60833333334	93985.7992785759	2.239227409722222e6	359700.5397261371
"kwip"	"ip"	1.0e7	8.0	0.05	38.7088356256485	6.156640993852535	78547.79444444444	24767.88524854487	1.231189276388889e6	136551.41074966814
"kwip"	"wip"	1.0e7	8.0	0.05	43.625133419036864	4.924540006166975	78547.79444444444	24767.88524854487	1.231189276388889e6	136551.41074966814
"kwip"	"ip"	1.0e7	32.0	0.05	44.472689640522006	5.319113466796891	324637.8722222222	95272.20151446812	2.1926212125e6	350245.6187786651
"kwip"	"wip"	1.0e7	32.0	0.05	52.418199956417084	6.094730468350498	324637.8722222222	95272.20151446812	2.1926212125e6	350245.6187786651
"kwip"	"ip"	1.0e7	8.0	0.1	38.11235237121582	6.125008737786415	78525.92222222222	24380.746998053484	1.1710330152777778e6	130543.4940759336
"kwip"	"wip"	1.0e7	8.0	0.1	42.75063729286194	4.767540343360415	78525.92222222222	24380.746998053484	1.1710330152777778e6	130543.4940759336
"kwip"	"ip"	1.0e7	32.0	0.1	45.085779917240146	6.266515941882401	323266.4638888889	92124.12066054429	2.0763356875e6	314625.01657333877
"kwip"	"wip"	1.0e7	32.0	0.1	51.21199123859405	5.417767929409162	323266.4638888889	92124.12066054429	2.0763356875e6	314625.01657333877
