SampleID	Site	Cultivar	Compartment	Run	Description
JE.Soil.1	Arbuckle	Soil	Bulk Soil	3	3-N-BS
JE.Soil.2	Arbuckle	Nipponebare	Rhizosphere	3	3-N-1mm
JE.Soil.3	Arbuckle	Nipponebare	Rhizoplane	3	3-N-BF
JE.Soil.4	Arbuckle	Nipponebare	Endosphere	3	3-N-Endo
JE.Soil.5	Arbuckle	Soil	Bulk Soil	3	3-M-BS
JE.Soil.6	Arbuckle	M104	Rhizosphere	3	3-M-1mm
JE.Soil.7	Arbuckle	M104	Rhizoplane	3	3-M-BF
JE.Soil.8	Arbuckle	M104	Endosphere	3	3-M-Endo
JE.Soil.12	Arbuckle	IR50	Endosphere	3	3-I-Endo
JE.Soil.13	Arbuckle	Soil	Bulk Soil	3	3-9-BS
JE.Soil.14	Arbuckle	93-11	Rhizosphere	3	3-9-1mm
JE.Soil.15	Arbuckle	93-11	Rhizoplane	3	3-9-BF
JE.Soil.16	Arbuckle	93-11	Endosphere	3	3-9-Endo
JE.Soil.17	Arbuckle	Soil	Bulk Soil	3	3-E-BS
JE.Soil.18	Arbuckle	Glab_E	Rhizosphere	3	3-E-1mm
JE.Soil.19	Arbuckle	Glab_E	Rhizoplane	3	3-E-BF
JE.Soil.20	Arbuckle	Glab_E	Endosphere	3	3-E-Endo
JE.Soil.21	Arbuckle	Soil	Bulk Soil	3	3-B-BS
JE.Soil.22	Arbuckle	Glab_B	Rhizosphere	3	3-B-1mm
JE.Soil.23	Arbuckle	Glab_B	Rhizoplane	3	3-B-BF
JE.Soil.24	Arbuckle	Glab_B	Endosphere	3	3-B-Endo
JE.Soil.26	Arbuckle	Nipponebare	Rhizosphere	3	4-N-1mm
JE.Soil.27	Arbuckle	Nipponebare	Rhizoplane	3	4-N-BF
JE.Soil.28	Arbuckle	Nipponebare	Endosphere	3	4-N-Endo
JE.Soil.29	Arbuckle	Soil	Bulk Soil	3	4-M-BS
JE.Soil.30	Arbuckle	M104	Rhizosphere	3	4-M-1mm
JE.Soil.31	Arbuckle	M104	Rhizoplane	3	4-M-BF
JE.Soil.32	Arbuckle	M104	Endosphere	3	4-M-Endo
JE.Soil.33	Arbuckle	Soil	Bulk Soil	3	4-I-BS
JE.Soil.34	Arbuckle	IR50	Rhizosphere	3	4-I-1mm
JE.Soil.35	Arbuckle	IR50	Rhizoplane	3	4-I-BF
JE.Soil.36	Arbuckle	IR50	Endosphere	3	4-I-Endo
JE.Soil.37	Arbuckle	Soil	Bulk Soil	3	4-9-BS
JE.Soil.38	Arbuckle	93-11	Rhizosphere	3	4-9-1mm
JE.Soil.39	Arbuckle	93-11	Rhizoplane	3	4-9-BF
JE.Soil.40	Arbuckle	93-11	Endosphere	3	4-9-Endo
JE.Soil.41	Arbuckle	Soil	Bulk Soil	3	4-E-BS
JE.Soil.42	Arbuckle	Glab_E	Rhizosphere	3	4-E-1mm
JE.Soil.43	Arbuckle	Glab_E	Rhizoplane	3	4-E-BF
JE.Soil.44	Arbuckle	Glab_E	Endosphere	3	4-E-Endo
JE.Soil.45	Arbuckle	Soil	Bulk Soil	3	4-B-BS
JE.Soil.46	Arbuckle	Glab_B	Rhizosphere	3	4-B-1mm
JE.Soil.47	Arbuckle	Glab_B	Rhizoplane	3	4-B-BF
JE.Soil.48	Arbuckle	Glab_B	Endosphere	3	4-B-Endo
JE.Soil.50	Davis	Nipponebare	Rhizosphere	3	5-N-1mm
JE.Soil.51	Davis	Nipponebare	Rhizoplane	3	5-N-BF
JE.Soil.52	Davis	Nipponebare	Endosphere	3	5-N-Endo
JE.Soil.54	Davis	M104	Rhizosphere	3	5-M-1mm
JE.Soil.56	Davis	M104	Endosphere	3	5-M-Endo
JE.Soil.57	Davis	Soil	Bulk Soil	3	5-I-BS
JE.Soil.58	Davis	IR50	Rhizosphere	3	5-I-1mm
JE.Soil.59	Davis	IR50	Rhizoplane	3	5-I-BF
JE.Soil.60	Davis	IR50	Endosphere	3	5-I-Endo
JE.Soil.62	Davis	93-11	Rhizosphere	3	5-9-1mm
JE.Soil.63	Davis	93-11	Rhizoplane	3	5-9-BF
JE.Soil.64	Davis	93-11	Endosphere	3	5-9-Endo
JE.Soil.66	Davis	Glab_E	Rhizosphere	3	5-E-1mm
JE.Soil.67	Davis	Glab_E	Rhizoplane	3	5-E-BF
JE.Soil.68	Davis	Glab_E	Endosphere	3	5-E-Endo
JE.Soil.70	Davis	Glab_B	Rhizosphere	3	5-B-1mm
JE.Soil.71	Davis	Glab_B	Rhizoplane	3	5-B-BF
JE.Soil.72	Davis	Glab_B	Endosphere	3	5-B-Endo
JE.Soil.74	Davis	Nipponebare	Rhizosphere	3	7-N-1mm
JE.Soil.75	Davis	Nipponebare	Rhizoplane	3	7-N-BF
JE.Soil.76	Davis	Nipponebare	Endosphere	3	7-N-Endo
JE.Soil.78	Davis	M104	Rhizosphere	3	7-M-1mm
JE.Soil.80	Davis	M104	Endosphere	3	7-M-Endo
JE.Soil.82	Davis	IR50	Rhizosphere	3	7-I-1mm
JE.Soil.83	Davis	IR50	Rhizoplane	3	7-I-BF
JE.Soil.84	Davis	IR50	Endosphere	3	7-I-Endo
JE.Soil.86	Davis	93-11	Rhizosphere	3	7-9-1mm
JE.Soil.87	Davis	93-11	Rhizoplane	3	7-9-BF
JE.Soil.88	Davis	93-11	Endosphere	3	7-9-Endo
JE.Soil.91	Davis	Glab_E	Rhizoplane	3	7-E-BF
JE.Soil.92	Davis	Glab_E	Endosphere	3	7-E-Endo
JE.Soil.95	Davis	Glab_B	Rhizoplane	3	7-B-BF
JE.Soil.96	Davis	Glab_B	Endosphere	3	7-B-Endo
JE.Soil.98	Sacramento	Nipponebare	Rhizosphere	3	10-N-1mm
JE.Soil.99	Sacramento	Nipponebare	Rhizoplane	3	10-N-BF
JE.Soil.100	Sacramento	Nipponebare	Endosphere	3	10-N-Endo
