Sample	SampleSum	WeightedSampleSum	Weight	Entropy
JE_Soil_50	9.99846e+06	7.52903e+06	7.52788e+13	0.00269654
JE_Soil_51	3.99592e+06	2.49163e+06	9.95638e+12	0.00136468
JE_Soil_52	1.44324e+06	786153	1.1346e+12	0.000528733
JE_Soil_54	7.68718e+06	5.59556e+06	4.30141e+13	0.00216838
JE_Soil_56	1.89601e+06	1.02797e+06	1.94904e+12	0.000678388
JE_Soil_57	5.03729e+06	3.52567e+06	1.77598e+13	0.00163658
JE_Soil_58	6.42275e+06	4.56519e+06	2.93211e+13	0.0019676
JE_Soil_59	3.45261e+06	2.04153e+06	7.0486e+12	0.00103838
JE_Soil_60	838313	439985	3.68845e+11	0.000369761
JE_Soil_62	4.91506e+06	3.2861e+06	1.61514e+13	0.00151141
JE_Soil_63	3.26148e+06	1.90586e+06	6.21593e+12	0.00100382
JE_Soil_64	2.33474e+06	1.395e+06	3.25695e+12	0.000767242
JE_Soil_66	6.53477e+06	4.53769e+06	2.96527e+13	0.00195575
JE_Soil_67	2.93492e+06	1.71028e+06	5.01954e+12	0.000941408
JE_Soil_68	2.18594e+06	1.2133e+06	2.65221e+12	0.000741698
JE_Soil_70	6.00648e+06	4.12231e+06	2.47606e+13	0.00185735
JE_Soil_71	3.43326e+06	2.02432e+06	6.95004e+12	0.00101003
JE_Soil_72	911202	458782	4.18043e+11	0.000427176
JE_Soil_74	9.28073e+06	7.00959e+06	6.50541e+13	0.00246192
JE_Soil_75	3.61165e+06	2.2036e+06	7.95861e+12	0.00115789
JE_Soil_76	1.46794e+06	779197	1.14381e+12	0.000585598
JE_Soil_78	6.95871e+06	5.00528e+06	3.48303e+13	0.00198469
JE_Soil_80	1.45003e+06	787135	1.14137e+12	0.000519499
JE_Soil_82	6.20442e+06	4.36728e+06	2.70964e+13	0.00191215
JE_Soil_83	3.69966e+06	2.24284e+06	8.29776e+12	0.00108931
JE_Soil_84	718128	343292	2.46528e+11	0.000341596
JE_Soil_86	4.62432e+06	3.00018e+06	1.38738e+13	0.00144746
JE_Soil_87	4.16918e+06	2.56711e+06	1.07027e+13	0.00124252
JE_Soil_88	1.11965e+06	591346	6.621e+11	0.000459675
JE_Soil_91	2.96401e+06	1.69811e+06	5.03321e+12	0.0010163
JE_Soil_92	995306	522837	5.20382e+11	0.000454193
JE_Soil_95	4.22916e+06	2.61659e+06	1.1066e+13	0.00137468
JE_Soil_96	1.53991e+06	878355	1.35259e+12	0.000599202
JE_Soil_227	5.65655e+06	3.81395e+06	2.15738e+13	0.00156215
JE_Soil_228	3.42471e+06	2.15715e+06	7.38763e+12	0.000985877
JE_Soil_229	6.37324e+06	4.53886e+06	2.89272e+13	0.00176927
JE_Soil_231	5.78268e+06	3.92821e+06	2.27156e+13	0.00146689
JE_Soil_232	2.4685e+06	1.4396e+06	3.55366e+12	0.000778415
JE_Soil_233	6.04256e+06	4.41713e+06	2.66908e+13	0.00178312
JE_Soil_234	5.45286e+06	3.79806e+06	2.07103e+13	0.00168732
JE_Soil_235	5.43035e+06	3.58528e+06	1.94693e+13	0.00145083
JE_Soil_236	1.86094e+06	1.05306e+06	1.95967e+12	0.000634822
JE_Soil_239	4.26781e+06	2.66189e+06	1.13605e+13	0.00127593
JE_Soil_240	2.31956e+06	1.35756e+06	3.14893e+12	0.000728236
JE_Soil_241	7.43772e+06	5.42448e+06	4.03458e+13	0.00186498
JE_Soil_244	2.1177e+06	1.22357e+06	2.59116e+12	0.000719089
JE_Soil_248	1.53393e+06	852778	1.3081e+12	0.000552822
JE_Soil_249	1.25192e+07	9.78675e+06	1.22522e+14	0.00296796
JE_Soil_250	7.66399e+06	5.51581e+06	4.22731e+13	0.00207892
JE_Soil_252	2.45974e+06	1.47983e+06	3.63998e+12	0.00083629
