Sample	SampleSum	WeightedSampleSum	Weight	Entropy
JE_Lundberg_1	2.28723e+06	919994	2.10424e+12	0.00112659
JE_Lundberg_2	3.24691e+06	1.20163e+06	3.9016e+12	0.00122593
JE_Lundberg_3	1.34976e+06	351258	4.74113e+11	0.000704983
JE_Lundberg_4	4.24569e+06	1.81897e+06	7.7228e+12	0.00164351
JE_Lundberg_5	2.22212e+06	715425	1.58976e+12	0.000939807
JE_Lundberg_6	1.59051e+06	457654	7.27902e+11	0.00075312
JE_Lundberg_7	3.6085e+06	1.43425e+06	5.1755e+12	0.00149426
JE_Lundberg_8	3.48448e+06	1.25497e+06	4.37291e+12	0.00134252
JE_Lundberg_9	2.11447e+06	638454	1.34999e+12	0.000988008
JE_Lundberg_10	4.33813e+06	1.89479e+06	8.21985e+12	0.00169535
JE_Lundberg_11	2.83103e+06	935912	2.6496e+12	0.00112097
JE_Lundberg_12	1.97676e+06	556389	1.09985e+12	0.000894282
JE_Lundberg_13	1.44134e+06	478422	6.8957e+11	0.000854218
JE_Lundberg_15	1.61114e+06	459714	7.40665e+11	0.000760974
JE_Lundberg_16	4.86618e+06	2.17353e+06	1.05768e+13	0.00182263
JE_Lundberg_17	3.94215e+06	1.48578e+06	5.85717e+12	0.00140911
JE_Lundberg_18	1.91989e+06	557825	1.07096e+12	0.000899997
JE_Lundberg_19	4.31857e+06	1.90625e+06	8.23226e+12	0.00170209
JE_Lundberg_20	2.6495e+06	955197	2.53079e+12	0.00104115
JE_Lundberg_21	2.12335e+06	722791	1.53474e+12	0.000921071
JE_Lundberg_22	4.00965e+06	1.74918e+06	7.01358e+12	0.00157901
JE_Lundberg_23	3.57992e+06	1.51505e+06	5.42376e+12	0.00133207
JE_Lundberg_24	1.70856e+06	464928	7.94355e+11	0.000819878
JE_Lundberg_25	6.78065e+06	3.34057e+06	2.26512e+13	0.00196606
JE_Lundberg_26	6.33541e+06	2.86065e+06	1.81234e+13	0.00172682
JE_Lundberg_27	3.98001e+06	1.51522e+06	6.03058e+12	0.00126784
JE_Lundberg_28	8.50298e+06	4.5966e+06	3.90848e+13	0.00236558
JE_Lundberg_29	7.44086e+06	3.61473e+06	2.68967e+13	0.00190234
JE_Lundberg_30	5.63232e+06	2.4538e+06	1.38206e+13	0.00161126
JE_Lundberg_31	7.25974e+06	3.82738e+06	2.77858e+13	0.00211096
JE_Lundberg_32	7.61626e+06	3.68388e+06	2.80574e+13	0.00198052
JE_Lundberg_33	7.82167e+06	3.75774e+06	2.93918e+13	0.00210908
JE_Lundberg_34	7.10007e+06	3.62226e+06	2.57183e+13	0.00212897
JE_Lundberg_35	6.77509e+06	3.14704e+06	2.13215e+13	0.00175264
JE_Lundberg_36	4.69971e+06	2.00221e+06	9.40979e+12	0.00147433
JE_Lundberg_37	7.65915e+06	4.02517e+06	3.08294e+13	0.00208806
JE_Lundberg_38	7.26058e+06	3.47898e+06	2.52594e+13	0.00198328
JE_Lundberg_39	4.80113e+06	1.98989e+06	9.5537e+12	0.0014658
JE_Lundberg_40	7.56161e+06	3.98158e+06	3.01071e+13	0.00208215
JE_Lundberg_41	7.57094e+06	3.72225e+06	2.81809e+13	0.00196949
JE_Lundberg_42	6.08539e+06	2.73833e+06	1.66638e+13	0.00174919
JE_Lundberg_43	8.79626e+06	4.75899e+06	4.18613e+13	0.00243222
JE_Lundberg_44	6.91391e+06	3.25564e+06	2.25092e+13	0.00183946
JE_Lundberg_45	5.91542e+06	2.51211e+06	1.48602e+13	0.00177476
JE_Lundberg_46	7.5771e+06	3.98103e+06	3.01646e+13	0.00208344
JE_Lundberg_47	7.0097e+06	3.38934e+06	2.37583e+13	0.00184059
JE_Lundberg_48	4.75308e+06	1.98613e+06	9.44025e+12	0.00153718
JE_Lundberg_49	3.53677e+06	1.41727e+06	5.01255e+12	0.00165625
JE_Lundberg_50	4.26229e+06	1.70788e+06	7.2795e+12	0.00151332
JE_Lundberg_51	1.91174e+06	669747	1.28038e+12	0.000882885
JE_Lundberg_52	3.9054e+06	1.65182e+06	6.45102e+12	0.00179709
JE_Lundberg_53	2.80863e+06	1.02359e+06	2.8749e+12	0.00129938
JE_Lundberg_54	2.89248e+06	1.04943e+06	3.03545e+12	0.00119959
JE_Lundberg_55	3.65537e+06	1.4792e+06	5.40703e+12	0.00161802
JE_Lundberg_56	3.48861e+06	1.339e+06	4.67125e+12	0.00153032
JE_Lundberg_57	2.23129e+06	806400	1.79931e+12	0.000965208
JE_Lundberg_58	2.84738e+06	1.09738e+06	3.12466e+12	0.00139828
JE_Lundberg_59	3.16768e+06	1.15178e+06	3.64849e+12	0.00134194
JE_Lundberg_60	2.22171e+06	708828	1.57481e+12	0.00101174
JE_Lundberg_61	3.17524e+06	1.32686e+06	4.21308e+12	0.00150146
JE_Lundberg_62	3.1282e+06	1.19491e+06	3.7379e+12	0.00127491
JE_Lundberg_63	2.23352e+06	751086	1.67756e+12	0.000964553
JE_Lundberg_64	2.98485e+06	1.20084e+06	3.58433e+12	0.00149335
JE_Lundberg_65	3.4279e+06	1.29621e+06	4.44327e+12	0.00134904
JE_Lundberg_66	2.48709e+06	844211	2.09963e+12	0.00106141
JE_Lundberg_67	3.55916e+06	1.44982e+06	5.16016e+12	0.00163473
JE_Lundberg_68	2.93067e+06	1.03604e+06	3.03629e+12	0.00128286
JE_Lundberg_69	1.87665e+06	548330	1.02902e+12	0.000873851
JE_Lundberg_70	3.31132e+06	1.39268e+06	4.61161e+12	0.00152094
JE_Lundberg_71	2.72948e+06	990119	2.70251e+12	0.00110402
JE_Lundberg_72	1.82471e+06	576426	1.05181e+12	0.000826443
JE_Lundberg_73	9.5246e+06	5.21954e+06	4.9714e+13	0.00272981
JE_Lundberg_74	5.00467e+06	2.16469e+06	1.08336e+13	0.00159279
JE_Lundberg_75	5.01199e+06	2.16122e+06	1.0832e+13	0.00153002
JE_Lundberg_76	8.49987e+06	4.54801e+06	3.86575e+13	0.00258952
JE_Lundberg_77	6.48664e+06	3.31246e+06	2.14868e+13	0.0020457
JE_Lundberg_78	5.17708e+06	2.23951e+06	1.15941e+13	0.00164264
JE_Lundberg_79	8.86808e+06	4.7436e+06	4.20666e+13	0.00255857
JE_Lundberg_80	8.33807e+06	4.14369e+06	3.45504e+13	0.00213374
JE_Lundberg_81	4.10546e+06	1.68243e+06	6.90714e+12	0.00142896
JE_Lundberg_82	1.23419e+07	7.17446e+06	8.85465e+13	0.00328877
JE_Lundberg_84	4.51622e+06	1.89951e+06	8.57861e+12	0.00149897
JE_Lundberg_85	3.31522e+06	1.42667e+06	4.72974e+12	0.00137121
