SampleID	Site	Compartment	Run	Cultivation	Description
JE_Lundberg_1	Ditaler 18	Rhizosphere	1	Organic	Rhizosphere_1.1
JE_Lundberg_2	Ditaler 18	Rhizoplane	1	Organic	Rhizoplane_1.1
JE_Lundberg_3	Ditaler 18	Endosphere	1	Organic	Endosphere_1.1
JE_Lundberg_4	Ditaler 18	Rhizosphere	1	Organic	Rhizosphere_1.2
JE_Lundberg_5	Ditaler 18	Rhizoplane	1	Organic	Rhizoplane_1.2
JE_Lundberg_6	Ditaler 18	Endosphere	1	Organic	Endosphere_1.2
JE_Lundberg_7	Ditaler 18	Rhizosphere	1	Organic	Rhizosphere_1.3
JE_Lundberg_8	Ditaler 18	Rhizoplane	1	Organic	Rhizoplane_1.3
JE_Lundberg_9	Ditaler 18	Endosphere	1	Organic	Endosphere_1.3
JE_Lundberg_10	Ditaler 18	Rhizosphere	1	Organic	Rhizosphere_1.4
JE_Lundberg_11	Ditaler 18	Rhizoplane	1	Organic	Rhizoplane_1.4
JE_Lundberg_12	Ditaler 18	Endosphere	1	Organic	Endosphere_1.4
JE_Lundberg_13	Ditaler 18	Rhizosphere	1	Organic	Rhizosphere_1.5
JE_Lundberg_15	Ditaler 18	Endosphere	1	Organic	Endosphere_1.5
JE_Lundberg_16	Ditaler 18	Rhizosphere	1	Organic	Rhizosphere_1.6
JE_Lundberg_17	Ditaler 18	Rhizoplane	1	Organic	Rhizoplane_1.6
JE_Lundberg_18	Ditaler 18	Endosphere	1	Organic	Endosphere_1.6
JE_Lundberg_19	Ditaler 18	Rhizosphere	1	Organic	Rhizosphere_1.7
JE_Lundberg_20	Ditaler 18	Rhizoplane	1	Organic	Rhizoplane_1.7
JE_Lundberg_21	Ditaler 18	Endosphere	1	Organic	Endosphere_1.7
JE_Lundberg_22	Ditaler 18	Rhizosphere	1	Organic	Rhizosphere_1.8
JE_Lundberg_23	Ditaler 18	Rhizoplane	1	Organic	Rhizoplane_1.8
JE_Lundberg_24	Ditaler 18	Endosphere	1	Organic	Endosphere_1.8
JE_Lundberg_25	Ditaler 19	Rhizosphere	2	Organic	Rhizosphere_2.1
JE_Lundberg_26	Ditaler 19	Rhizoplane	2	Organic	Rhizoplane_2.1
JE_Lundberg_27	Ditaler 19	Endosphere	2	Organic	Endosphere_2.1
JE_Lundberg_28	Ditaler 19	Rhizosphere	2	Organic	Rhizosphere_2.2
JE_Lundberg_29	Ditaler 19	Rhizoplane	2	Organic	Rhizoplane_2.2
JE_Lundberg_30	Ditaler 19	Endosphere	2	Organic	Endosphere_2.2
JE_Lundberg_31	Ditaler 19	Rhizosphere	2	Organic	Rhizosphere_2.3
JE_Lundberg_32	Ditaler 19	Rhizoplane	2	Organic	Rhizoplane_2.3
JE_Lundberg_33	Ditaler 19	Endosphere	2	Organic	Endosphere_2.3
JE_Lundberg_34	Ditaler 19	Rhizosphere	2	Organic	Rhizosphere_2.4
JE_Lundberg_35	Ditaler 19	Rhizoplane	2	Organic	Rhizoplane_2.4
JE_Lundberg_36	Ditaler 19	Endosphere	2	Organic	Endosphere_2.4
JE_Lundberg_37	Ditaler 19	Rhizosphere	2	Organic	Rhizosphere_2.5
