Sample	SampleSum	WeightedSampleSum	Weight	Entropy
JE_Soil_1	3.87295e+06	2.09132e+06	8.09959e+12	0.00124176
JE_Soil_2	5.08216e+06	2.96325e+06	1.50597e+13	0.00172563
JE_Soil_3	3.82914e+06	1.9097e+06	7.31252e+12	0.00116509
JE_Soil_4	2.07816e+06	887323	1.844e+12	0.000774388
JE_Soil_5	1.10225e+07	7.72257e+06	8.5122e+13	0.00284637
JE_Soil_6	4.13317e+06	2.27957e+06	9.42186e+12	0.00145171
JE_Soil_7	6.89838e+06	4.0075e+06	2.76453e+13	0.00185179
JE_Soil_8	2.10768e+06	933171	1.96683e+12	0.000766536
JE_Soil_12	1.63859e+06	694566	1.13811e+12	0.000566734
JE_Soil_13	5.96166e+06	3.67548e+06	2.1912e+13	0.00192974
JE_Soil_14	4.72058e+06	2.69404e+06	1.27174e+13	0.00156517
JE_Soil_15	2.82492e+06	1.30269e+06	3.68e+12	0.00109638
JE_Soil_16	1.75864e+06	734074	1.29097e+12	0.000658384
JE_Soil_17	4.83326e+06	2.86841e+06	1.38638e+13	0.00146879
JE_Soil_18	4.54084e+06	2.56242e+06	1.16355e+13	0.00159048
JE_Soil_19	4.23792e+06	2.19469e+06	9.3009e+12	0.00123943
JE_Soil_20	2.00292e+06	855104	1.71271e+12	0.000755423
JE_Soil_21	4.07444e+06	2.32649e+06	9.47915e+12	0.00149093
JE_Soil_22	5.57343e+06	3.29008e+06	1.8337e+13	0.00178643
JE_Soil_23	4.34759e+06	2.27485e+06	9.89011e+12	0.00133249
JE_Soil_24	1.84376e+06	788481	1.45377e+12	0.000723316
JE_Soil_26	4.92863e+06	2.90219e+06	1.43038e+13	0.00170358
JE_Soil_27	2.21608e+06	954251	2.1147e+12	0.000780367
JE_Soil_28	2.08322e+06	871002	1.81449e+12	0.000657806
JE_Soil_29	4.26954e+06	2.43699e+06	1.04048e+13	0.0014771
JE_Soil_30	4.18886e+06	2.34559e+06	9.82534e+12	0.00146163
JE_Soil_31	658402	218529	1.4388e+11	0.000413242
JE_Soil_32	3.49008e+06	1.7424e+06	6.08111e+12	0.00103955
JE_Soil_33	3.74961e+06	2.12595e+06	7.97148e+12	0.0013034
JE_Soil_34	3.34843e+06	1.73744e+06	5.8177e+12	0.00129818
JE_Soil_35	3.44641e+06	1.65955e+06	5.7195e+12	0.00108239
JE_Soil_36	2.11633e+06	928649	1.96533e+12	0.000717175
JE_Soil_37	6.46975e+06	4.05377e+06	2.62269e+13	0.00196052
JE_Soil_38	4.39982e+06	2.43772e+06	1.07255e+13	0.00155673
JE_Soil_39	3.18721e+06	1.45684e+06	4.64327e+12	0.00102173
JE_Soil_40	1.25385e+06	492178	6.17117e+11	0.000492699
JE_Soil_41	4.3224e+06	2.4471e+06	1.05773e+13	0.00145478
JE_Soil_42	4.79667e+06	2.71315e+06	1.30141e+13	0.00159671
JE_Soil_43	3.90775e+06	1.92446e+06	7.52029e+12	0.00124322
JE_Soil_44	2.07213e+06	889283	1.84271e+12	0.000700343
JE_Soil_45	3.92292e+06	2.19999e+06	8.63037e+12	0.00137049
JE_Soil_46	4.3704e+06	2.39129e+06	1.04509e+13	0.00153659
JE_Soil_47	3.39269e+06	1.60703e+06	5.45214e+12	0.00113454
JE_Soil_48	1.42612e+06	554060	7.90153e+11	0.00054804
JE_Soil_50	9.99846e+06	6.79383e+06	6.79279e+13	0.00269654
JE_Soil_51	3.99592e+06	2.04637e+06	8.17715e+12	0.00136468
JE_Soil_52	1.44324e+06	566740	8.17939e+11	0.000528733
JE_Soil_54	7.68718e+06	4.90891e+06	3.77357e+13	0.00216838
JE_Soil_56	1.89601e+06	766410	1.45312e+12	0.000678388
JE_Soil_57	5.03729e+06	3.06503e+06	1.54394e+13	0.00163658
JE_Soil_58	6.42275e+06	3.93938e+06	2.53016e+13	0.0019676
JE_Soil_59	3.45261e+06	1.62961e+06	5.62642e+12	0.00103838
JE_Soil_60	838313	346559	2.90525e+11	0.000369761
JE_Soil_62	4.91506e+06	2.80348e+06	1.37793e+13	0.00151141
