SampleID	Site	Cultivar	Compartment	Run	Description
JE_Soil_1	Arbuckle	Soil	Bulk Soil	3	3-N-BS
JE_Soil_2	Arbuckle	Nipponebare	Rhizosphere	3	3-N-1mm
JE_Soil_3	Arbuckle	Nipponebare	Rhizoplane	3	3-N-BF
JE_Soil_4	Arbuckle	Nipponebare	Endosphere	3	3-N-Endo
JE_Soil_5	Arbuckle	Soil	Bulk Soil	3	3-M-BS
JE_Soil_6	Arbuckle	M104	Rhizosphere	3	3-M-1mm
JE_Soil_7	Arbuckle	M104	Rhizoplane	3	3-M-BF
JE_Soil_8	Arbuckle	M104	Endosphere	3	3-M-Endo
JE_Soil_12	Arbuckle	IR50	Endosphere	3	3-I-Endo
JE_Soil_13	Arbuckle	Soil	Bulk Soil	3	3-9-BS
JE_Soil_14	Arbuckle	93-11	Rhizosphere	3	3-9-1mm
JE_Soil_15	Arbuckle	93-11	Rhizoplane	3	3-9-BF
JE_Soil_16	Arbuckle	93-11	Endosphere	3	3-9-Endo
JE_Soil_17	Arbuckle	Soil	Bulk Soil	3	3-E-BS
JE_Soil_18	Arbuckle	Glab_E	Rhizosphere	3	3-E-1mm
JE_Soil_19	Arbuckle	Glab_E	Rhizoplane	3	3-E-BF
JE_Soil_20	Arbuckle	Glab_E	Endosphere	3	3-E-Endo
JE_Soil_21	Arbuckle	Soil	Bulk Soil	3	3-B-BS
JE_Soil_22	Arbuckle	Glab_B	Rhizosphere	3	3-B-1mm
JE_Soil_23	Arbuckle	Glab_B	Rhizoplane	3	3-B-BF
JE_Soil_24	Arbuckle	Glab_B	Endosphere	3	3-B-Endo
JE_Soil_26	Arbuckle	Nipponebare	Rhizosphere	3	4-N-1mm
JE_Soil_27	Arbuckle	Nipponebare	Rhizoplane	3	4-N-BF
JE_Soil_28	Arbuckle	Nipponebare	Endosphere	3	4-N-Endo
JE_Soil_29	Arbuckle	Soil	Bulk Soil	3	4-M-BS
JE_Soil_30	Arbuckle	M104	Rhizosphere	3	4-M-1mm
JE_Soil_31	Arbuckle	M104	Rhizoplane	3	4-M-BF
JE_Soil_32	Arbuckle	M104	Endosphere	3	4-M-Endo
JE_Soil_33	Arbuckle	Soil	Bulk Soil	3	4-I-BS
JE_Soil_34	Arbuckle	IR50	Rhizosphere	3	4-I-1mm
JE_Soil_35	Arbuckle	IR50	Rhizoplane	3	4-I-BF
JE_Soil_36	Arbuckle	IR50	Endosphere	3	4-I-Endo
JE_Soil_37	Arbuckle	Soil	Bulk Soil	3	4-9-BS
JE_Soil_38	Arbuckle	93-11	Rhizosphere	3	4-9-1mm
JE_Soil_39	Arbuckle	93-11	Rhizoplane	3	4-9-BF
JE_Soil_40	Arbuckle	93-11	Endosphere	3	4-9-Endo
JE_Soil_41	Arbuckle	Soil	Bulk Soil	3	4-E-BS
JE_Soil_42	Arbuckle	Glab_E	Rhizosphere	3	4-E-1mm
JE_Soil_43	Arbuckle	Glab_E	Rhizoplane	3	4-E-BF
JE_Soil_44	Arbuckle	Glab_E	Endosphere	3	4-E-Endo
JE_Soil_45	Arbuckle	Soil	Bulk Soil	3	4-B-BS
JE_Soil_46	Arbuckle	Glab_B	Rhizosphere	3	4-B-1mm
JE_Soil_47	Arbuckle	Glab_B	Rhizoplane	3	4-B-BF
JE_Soil_48	Arbuckle	Glab_B	Endosphere	3	4-B-Endo
JE_Soil_50	Davis	Nipponebare	Rhizosphere	3	5-N-1mm
JE_Soil_51	Davis	Nipponebare	Rhizoplane	3	5-N-BF
JE_Soil_52	Davis	Nipponebare	Endosphere	3	5-N-Endo
JE_Soil_54	Davis	M104	Rhizosphere	3	5-M-1mm
JE_Soil_56	Davis	M104	Endosphere	3	5-M-Endo
JE_Soil_57	Davis	Soil	Bulk Soil	3	5-I-BS
JE_Soil_58	Davis	IR50	Rhizosphere	3	5-I-1mm
JE_Soil_59	Davis	IR50	Rhizoplane	3	5-I-BF
JE_Soil_60	Davis	IR50	Endosphere	3	5-I-Endo
JE_Soil_62	Davis	93-11	Rhizosphere	3	5-9-1mm
JE_Soil_63	Davis	93-11	Rhizoplane	3	5-9-BF
JE_Soil_64	Davis	93-11	Endosphere	3	5-9-Endo
JE_Soil_66	Davis	Glab_E	Rhizosphere	3	5-E-1mm
JE_Soil_67	Davis	Glab_E	Rhizoplane	3	5-E-BF
JE_Soil_68	Davis	Glab_E	Endosphere	3	5-E-Endo
JE_Soil_70	Davis	Glab_B	Rhizosphere	3	5-B-1mm
JE_Soil_71	Davis	Glab_B	Rhizoplane	3	5-B-BF
JE_Soil_72	Davis	Glab_B	Endosphere	3	5-B-Endo
JE_Soil_74	Davis	Nipponebare	Rhizosphere	3	7-N-1mm
JE_Soil_75	Davis	Nipponebare	Rhizoplane	3	7-N-BF
JE_Soil_76	Davis	Nipponebare	Endosphere	3	7-N-Endo
JE_Soil_78	Davis	M104	Rhizosphere	3	7-M-1mm
JE_Soil_80	Davis	M104	Endosphere	3	7-M-Endo
JE_Soil_82	Davis	IR50	Rhizosphere	3	7-I-1mm
JE_Soil_83	Davis	IR50	Rhizoplane	3	7-I-BF
JE_Soil_84	Davis	IR50	Endosphere	3	7-I-Endo
JE_Soil_86	Davis	93-11	Rhizosphere	3	7-9-1mm
JE_Soil_87	Davis	93-11	Rhizoplane	3	7-9-BF
JE_Soil_88	Davis	93-11	Endosphere	3	7-9-Endo
JE_Soil_91	Davis	Glab_E	Rhizoplane	3	7-E-BF
JE_Soil_92	Davis	Glab_E	Endosphere	3	7-E-Endo
JE_Soil_95	Davis	Glab_B	Rhizoplane	3	7-B-BF
JE_Soil_96	Davis	Glab_B	Endosphere	3	7-B-Endo
JE_Soil_98	Sacramento	Nipponebare	Rhizosphere	3	10-N-1mm
JE_Soil_99	Sacramento	Nipponebare	Rhizoplane	3	10-N-BF
JE_Soil_100	Sacramento	Nipponebare	Endosphere	3	10-N-Endo
