ht_name	fpr	num_kmers	num_reads	files
JE_Lundberg_1	0.000	364890	44922	-
JE_Lundberg_2	0.000	390572	74434	-
JE_Lundberg_3	0.000	221062	35096	-
JE_Lundberg_4	0.000	545548	100525	-
JE_Lundberg_5	0.000	295757	56920	-
JE_Lundberg_6	0.000	237506	58850	-
JE_Lundberg_7	0.000	489474	76228	-
JE_Lundberg_8	0.000	433879	82273	-
JE_Lundberg_9	0.000	317383	60961	-
JE_Lundberg_10	0.000	565267	101992	-
JE_Lundberg_11	0.000	356799	67555	-
JE_Lundberg_12	0.000	284163	67706	-
JE_Lundberg_13	0.000	271848	24095	-
JE_Lundberg_15	0.000	239194	64390	-
JE_Lundberg_16	0.000	609016	116908	-
JE_Lundberg_17	0.000	456817	94120	-
JE_Lundberg_18	0.000	286222	62589	-
JE_Lundberg_19	0.000	568484	101910	-
JE_Lundberg_20	0.000	328821	55288	-
JE_Lundberg_21	0.000	294514	60693	-
JE_Lundberg_22	0.000	522803	91337	-
JE_Lundberg_23	0.000	428986	78645	-
JE_Lundberg_24	0.000	260762	49110	-
JE_Lundberg_25	0.000	642475	146662	-
JE_Lundberg_26	0.000	557426	143939	-
JE_Lundberg_27	0.000	402379	107321	-
JE_Lundberg_28	0.000	788149	205078	-
JE_Lundberg_29	0.000	615951	166073	-
JE_Lundberg_30	0.000	517499	147379	-
JE_Lundberg_31	0.000	695565	165472	-
JE_Lundberg_32	0.000	643862	167690	-
JE_Lundberg_33	0.000	692042	269722	-
JE_Lundberg_34	0.000	703487	145834	-
JE_Lundberg_35	0.000	562520	143301	-
JE_Lundberg_36	0.000	472593	138979	-
JE_Lundberg_37	0.000	685909	178672	-
JE_Lundberg_38	0.000	647477	171455	-
JE_Lundberg_39	0.000	470282	163650	-
JE_Lundberg_40	0.000	682547	173846	-
JE_Lundberg_41	0.000	642973	181158	-
JE_Lundberg_42	0.000	568089	167763	-
JE_Lundberg_43	0.000	811735	207261	-
JE_Lundberg_44	0.000	592873	151714	-
JE_Lundberg_45	0.000	579828	189397	-
JE_Lundberg_46	0.000	682872	166931	-
JE_Lundberg_47	0.000	592633	149426	-
JE_Lundberg_48	0.000	498752	148446	-
JE_Lundberg_49	0.000	552733	75944	-
JE_Lundberg_50	0.000	490450	97368	-
JE_Lundberg_51	0.000	282903	44074	-
JE_Lundberg_52	0.000	602438	82635	-
JE_Lundberg_53	0.000	422166	54032	-
JE_Lundberg_54	0.000	389369	77095	-
JE_Lundberg_55	0.000	536891	76150	-
JE_Lundberg_56	0.000	505974	75583	-
JE_Lundberg_57	0.000	309731	61401	-
JE_Lundberg_58	0.000	460001	56691	-
JE_Lundberg_59	0.000	436397	67746	-
JE_Lundberg_60	0.000	326310	64487	-
JE_Lundberg_61	0.000	498714	68311	-
JE_Lundberg_62	0.000	413036	70944	-
JE_Lundberg_63	0.000	308008	63347	-
JE_Lundberg_64	0.000	495280	61091	-
JE_Lundberg_65	0.000	438519	80674	-
JE_Lundberg_66	0.000	342016	71741	-
JE_Lundberg_67	0.000	546232	76474	-
JE_Lundberg_68	0.000	413783	60112	-
JE_Lundberg_69	0.000	279552	56058	-
JE_Lundberg_70	0.000	506089	76707	-
JE_Lundberg_71	0.000	353058	65570	-
JE_Lundberg_72	0.000	263596	57885	-
JE_Lundberg_73	0.000	916083	199054	-
